款式代號,尺寸群組,對應尺寸群組
60491,a,正常型
R8657,a,正常型
R8658,a,正常型
R8629,a,正常型
R8630,a,正常型
R8633,a,正常型
R8635,a,正常型
R86553,a,正常型
R8622,a,正常型
R86291,a,正常型
R86361,a,正常型
R86261,a,正常型
R86301,a,正常型
R86031,a,正常型
R86571,a,正常型
R86281,a,正常型
R86221,a,正常型
R86551,a,正常型
r86553,a,正常型
r86521,a,正常型
R86522,a,正常型
R86251,a,正常型
60501,a,正常型
R86582,b,下圍正常.罩杯偏深
R86112,b,下圍正常.罩杯偏深
R86352,b,下圍正常.罩杯偏深
R86333,b,下圍正常.罩杯偏深
R86353,b,下圍正常.罩杯偏深
R86572,b,下圍正常.罩杯偏深
R86051,b,下圍正常.罩杯偏深
r86552,b,下圍正常.罩杯偏深
6050,b,下圍正常.罩杯偏深
R8625,c,下圍正常.罩杯偏小
R8636,c,下圍正常.罩杯偏小
R86581,c,下圍正常.罩杯偏小
R8625,c,下圍正常.罩杯偏小
R8626,d,下圍偏鬆.罩杯正常
R8659,e,下圍偏鬆、罩杯偏大 .全罩杯
R8661,e,下圍偏鬆、罩杯偏大 .全罩杯
R86611,e,下圍偏鬆、罩杯偏大 .全罩杯
R86222,e,下圍偏鬆、罩杯偏大 .全罩杯
R86062,e,下圍偏鬆、罩杯偏大 .全罩杯
R86262,e,下圍偏鬆、罩杯偏大 .全罩杯
R8631,e,下圍偏鬆、罩杯偏大 .全罩杯
R86311,e,下圍偏鬆、罩杯偏大 .全罩杯
R86591,e,下圍偏鬆、罩杯偏大 .全罩杯
9101,f,下圍偏緊.罩杯正常
9106,f,下圍偏緊.罩杯正常
R9110,f,下圍偏緊.罩杯正常
5775,f,下圍偏緊.罩杯正常
N76011,f,下圍偏緊.罩杯正常
R81031,f,下圍偏緊.罩杯正常
R81051,f,下圍偏緊.罩杯正常
R81011,f,下圍偏緊.罩杯正常
R86581,f,下圍偏緊.罩杯正常
R86521,f,下圍偏緊.罩杯正常
R91101,f,下圍偏緊.罩杯正常
91061,f,下圍偏緊.罩杯正常
R9110,f,下圍偏緊.罩杯正常
9106,f,下圍偏緊.罩杯正常
R8655,g,下圍偏緊、罩杯偏小
r8652,g,下圍偏緊、罩杯偏小
R9107,h,下圍偏緊.罩杯偏深
R8627,h,下圍偏緊.罩杯偏深
5807,h,下圍偏緊.罩杯偏深
R7001,h,下圍偏緊.罩杯偏深
R7002,h,下圍偏緊.罩杯偏深
R7003,h,下圍偏緊.罩杯偏深
7103,h,下圍偏緊.罩杯偏深
R70021,h,下圍偏緊.罩杯偏深
R70012,h,下圍偏緊.罩杯偏深
R86232,i,下圍偏鬆罩杯偏大兩號
