尺寸代號,上胸圍1,上胸圍2,下胸圍1,下胸圍2,對應尺寸請使用.號隔開,對應尺寸群組,內衣對應
A30A,67.99,70.57,62.5,67.49,A30,正常型,養脂內衣
A30B,70.58,73.16,62.5,67.49,B30,正常型,養脂內衣
A30C,73.17,75.75,62.5,67.49,C30,正常型,養脂內衣
A30D,75.76,78.34,62.5,67.49,D30,正常型,養脂內衣
A30E,78.35,80.93,62.5,67.49,E30,正常型,養脂內衣
A30F,80.94,83.52,62.5,67.49,F30,正常型,塑瘦內衣
A30G,83.53,86.11,62.5,67.49,G30,正常型,塑瘦內衣
A30H,86.12,88.7,62.5,67.49,H30,正常型,塑瘦內衣
A30I,88.71,91.29,62.5,67.49,I30,正常型,塑瘦內衣
A32A,72.99,75.57,67.5,72.49,A32,正常型,養脂內衣
A32B,75.58,78.16,67.5,72.49,B32,正常型,養脂內衣
A32C,78.17,80.75,67.5,72.49,C32,正常型,養脂內衣
A32D,80.76,83.34,67.5,72.49,D32,正常型,養脂內衣
A32E,83.35,85.93,67.5,72.49,E32,正常型,養脂內衣
A32F,85.94,88.52,67.5,72.49,F32,正常型,塑瘦內衣
A32G,88.53,91.11,67.5,72.49,G32,正常型,塑瘦內衣
A32H,91.12,93.7,67.5,72.49,H32,正常型,塑瘦內衣
A32I,93.71,96.29,67.5,72.49,I32,正常型,塑瘦內衣
A34A,77.99,80.57,72.5,77.49,A34,正常型,養脂內衣
A34B,80.58,83.16,72.5,77.49,B34,正常型,養脂內衣
A34C,83.17,85.75,72.5,77.49,C34,正常型,養脂內衣
A34D,85.76,88.34,72.5,77.49,D34,正常型,養脂內衣
A34E,88.35,90.93,72.5,77.49,E34,正常型,養脂內衣
A34F,90.94,93.52,72.5,77.49,F34,正常型,塑瘦內衣
A34G,93.53,96.11,72.5,77.49,G34,正常型,塑瘦內衣
A34H,96.12,98.7,72.5,77.49,H34,正常型,塑瘦內衣
A34I,98.71,101.29,72.5,77.49,I34,正常型,塑瘦內衣
A36A,82.99,85.57,77.5,82.49,A36,正常型,養脂內衣
A36B,85.58,88.16,77.5,82.49,B36,正常型,養脂內衣
A36C,88.17,90.75,77.5,82.49,C36,正常型,養脂內衣
A36D,90.76,93.34,77.5,82.49,D36,正常型,養脂內衣
A36E,93.35,95.93,77.5,82.49,E36,正常型,養脂內衣
A36F,95.94,98.52,77.5,82.49,F36,正常型,塑瘦內衣
A36G,98.53,101.11,77.5,82.49,G36,正常型,塑瘦內衣
A36H,101.12,103.7,77.5,82.49,H36,正常型,塑瘦內衣
A36I,103.71,106.29,77.5,82.49,I36,正常型,塑瘦內衣
A38A,87.99,90.57,82.5,87.49,A38,正常型,養脂內衣
A38B,90.58,93.16,82.5,87.49,B38,正常型,養脂內衣
A38C,93.17,95.75,82.5,87.49,C38,正常型,養脂內衣
A38D,95.76,98.34,82.5,87.49,D38,正常型,養脂內衣
A38E,98.35,100.93,82.5,87.49,E38,正常型,養脂內衣
A38F,100.94,103.52,82.5,87.49,F38,正常型,塑瘦內衣
A38G,103.53,106.11,82.5,87.49,G38,正常型,塑瘦內衣
A38H,106.12,108.7,82.5,87.49,H38,正常型,塑瘦內衣
A38I,108.71,111.29,82.5,87.49,I38,正常型,塑瘦內衣
A40A,92.99,95.57,87.5,92.49,A40,正常型,養脂內衣
